indonesia,osing
aku melihat pisang di bukit,isun ndeleng gedhang nong puthuk
dia memanggil nasi ke bukit,yane ngundang sego nyang puthuk
ibu membawa sayur,mak nggowo jangan
kamu menyimpan buku,riko nyimpen buku
saya melihat nasi di rumah,isun ndeleng sego nong umah
saya membawa sayur dari pasar,isun nggowo jangan teko pasar
saya menyimpan air dari sungai,isun nyimpen byanyu teko kali
bapak memasak pisau dari sungai,bapak ngolah lading teko kali
mereka memanggil pisang di pasar,wong-wong ngundang gedhang nong pasar
ibu melihat pisang dari pasar,mak ndeleng gedhang teko pasar
dia memasak nasi dari dapur,yane ngolah sego teko pawon
bapak mengambil pisau ke sungai,bapak njuwut lading nyang kali
nenek menyapu buku di bukit,embyah nyapu buku nong puthuk
dia memukul bunga di bukit,yane nyampat kembang nong puthuk
nenek memukul sayur ke rumah,embyah nyampat jangan nyang umah
bapak memukul kunci dari bukit,bapak nyampat kunci teko puthuk
aku membawa nasi di bukit,isun nggowo sego nong puthuk
saya mengambil pisau dari bukit,isun njuwut lading teko puthuk
mereka melihat bunga di rumah,wong-wong ndeleng kembang nong umah
mereka menyapu pisang dari bukit,wong-wong nyapu gedhang teko puthuk
nenek memasak bunga dari sungai,embyah ngolah kembang teko kali
bapak menyapu anak di pasar,bapak nyapu lare nong pasar
bapak membawa anak,bapak nggowo lare
ibu menyimpan pisau di dapur,mak nyimpen lading nong pawon
mereka mencium sayur di pasar,wong-wong ngambung jangan nong pasar
ibu memukul sayur di sungai,mak nyampat jangan nong kali
mereka melihat air di bukit,wong-wong ndeleng byanyu nong puthuk
bapak mencium pisang,bapak ngambung gedhang
saya mengambil bunga,isun njuwut kembang
ibu menyimpan nasi dari dapur,mak nyimpen sego teko pawon
nenek menyapu air dari sungai,embyah nyapu byanyu teko kali
aku memanggil sayur di dapur,isun ngundang jangan nong pawon
mereka melihat bunga ke dapur,wong-wong ndeleng kembang nyang pawon
dia memukul anak,yane nyampat lare
nenek mencium bunga dari bukit,embyah ngambung kembang teko puthuk
nenek memasak pisang,embyah ngolah gedhang
nenek menyimpan nasi di pasar,embyah nyimpen sego nong pasar
anak menyimpan sayur ke dapur,lare nyimpen jangan nyang pawon
ibu membawa buku dari bukit,mak nggowo buku teko puthuk
bapak memukul kunci ke dapur,bapak nyampat kunci nyang pawon
kamu mencium nasi,riko ngambung sego
aku mencium pisang ke sungai,isun ngambung gedhang nyang kali
mereka menyapu pisang,wong-wong nyapu gedhang
kamu memanggil sayur,riko ngundang jangan
mereka memanggil kunci ke rumah,wong-wong ngundang kunci nyang umah
mereka mencium anak,wong-wong ngambung lare
ibu memasak air ke sungai,mak ngolah byanyu nyang kali
ibu memukul pisang di pasar,mak nyampat gedhang nong pasar
mereka melihat pisau ke dapur,wong-wong ndeleng lading nyang pawon
saya mengambil sayur ke sungai,isun njuwut jangan nyang kali
anak menyimpan kunci dari dapur,lare nyimpen kunci teko pawon
kamu memanggil sayur ke bukit,riko ngundang jangan nyang puthuk
nenek membawa buku,embyah nggowo buku
anak memasak nasi dari pasar,lare ngolah sego teko pasar
bapak mencium bunga,bapak ngambung kembang
ibu mencium bunga,mak ngambung kembang
ibu melihat pisang,mak ndeleng gedhang
ibu mencium bunga dari sungai,mak ngambung kembang teko kali
nenek membawa anak di rumah,embyah nggowo lare nong umah
dia memanggil pisau dari sungai,yane ngundang lading teko kali
ibu melihat pisang di rumah,mak ndeleng gedhang nong umah
kamu melihat sayur ke dapur,riko ndeleng jangan nyang pawon
ibu memasak nasi,mak ngolah sego
anak mengambil pisang dari sungai,lare njuwut gedhang teko kali
nenek mengambil anak,embyah njuwut lare
nenek memasak bunga,embyah ngolah kembang
anak mencium buku,lare ngambung buku
bapak memukul bunga,bapak nyampat kembang
ibu menyapu air di bukit,mak nyapu byanyu nong puthuk
bapak menyimpan pisang dari sungai,bapak nyimpen gedhang teko kali
anak mencium sayur di pasar,lare ngambung jangan nong pasar
ibu mencium sayur ke rumah,mak ngambung jangan nyang umah
aku memasak kunci ke rumah,isun ngolah kunci nyang umah
saya menyapu anak di sungai,isun nyapu lare nong kali
kamu mengambil sayur,riko njuwut jangan
nenek menyimpan pisau dari sungai,embyah nyimpen lading teko kali
ibu mengambil air di rumah,mak njuwut byanyu nong umah
ibu memukul pisang di rumah,mak nyampat gedhang nong umah
dia melihat buku,yane ndeleng buku
mereka memasak pisau ke pasar,wong-wong ngolah lading nyang pasar
anak membawa pisang di rumah,lare nggowo gedhang nong umah
nenek memasak buku di rumah,embyah ngolah buku nong umah
dia melihat sayur dari dapur,yane ndeleng jangan teko pawon
bapak memukul buku di sungai,bapak nyampat buku nong kali
aku membawa sayur,isun nggowo jangan
aku mengambil pisang ke pasar,isun njuwut gedhang nyang pasar
nenek memanggil pisang ke sungai,embyah ngundang gedhang nyang kali
saya melihat kunci ke pasar,isun ndeleng kunci nyang pasar
nenek mengambil sayur dari bukit,embyah njuwut jangan teko puthuk
ibu memukul anak dari dapur,mak nyampat lare teko pawon
saya menyimpan nasi di dapur,isun nyimpen sego nong pawon
saya memasak nasi ke dapur,isun ngolah sego nyang pawon
aku menyapu sayur di rumah,isun nyapu jangan nong umah
bapak melihat pisang dari sungai,bapak ndeleng gedhang teko kali
mereka melihat buku ke sungai,wong-wong ndeleng buku nyang kali
saya mengambil buku,isun njuwut buku
kamu memasak air ke dapur,riko ngolah byanyu nyang pawon
anak menyimpan air,lare nyimpen byanyu
anak mengambil bunga,lare njuwut kembang
saya memanggil anak di pasar,isun ngundang lare nong pasar
saya memasak pisau,isun ngolah lading
saya melihat sayur di pasar,isun ndeleng jangan nong pasar
ibu memanggil nasi dari rumah,mak ngundang sego teko umah
nenek memanggil kunci ke sungai,embyah ngundang kunci nyang kali
aku memukul air ke sungai,isun nyampat byanyu nyang kali
anak menyapu bunga,lare nyapu kembang
ibu mengambil air di sungai,mak njuwut byanyu nong kali
nenek menyapu bunga ke rumah,embyah nyapu kembang nyang umah
anak menyimpan kunci,lare nyimpen kunci
dia mencium pisang di sungai,yane ngambung gedhang nong kali
saya menyapu nasi ke pasar,isun nyapu sego nyang pasar
dia memukul bunga dari pasar,yane nyampat kembang teko pasar
saya mencium air,isun ngambung byanyu
dia melihat anak di sungai,yane ndeleng lare nong kali
bapak menyimpan sayur ke dapur,bapak nyimpen jangan nyang pawon
bapak melihat kunci,bapak ndeleng kunci
nenek melihat nasi ke pasar,embyah ndeleng sego nyang pasar
kamu membawa buku di dapur,riko nggowo buku nong pawon
nenek melihat anak ke bukit,embyah ndeleng lare nyang puthuk
mereka mencium pisang dari pasar,wong-wong ngambung gedhang teko pasar
bapak melihat air ke sungai,bapak ndeleng byanyu nyang kali
ibu melihat bunga ke pasar,mak ndeleng kembang nyang pasar
ibu melihat nasi di dapur,mak ndeleng sego nong pawon
saya memanggil bunga di dapur,isun ngundang kembang nong pawon
ibu menyapu kunci ke pasar,mak nyapu kunci nyang pasar
kamu memukul buku dari bukit,riko nyampat buku teko puthuk
mereka melihat sayur,wong-wong ndeleng jangan
bapak memanggil air,bapak ngundang byanyu
dia menyapu nasi di pasar,yane nyapu sego nong pasar
ibu mencium kunci di sungai,mak ngambung kunci nong kali
bapak menyapu bunga,bapak nyapu kembang
kamu memukul bunga,riko nyampat kembang
saya memanggil kunci di bukit,isun ngundang kunci nong puthuk
saya memanggil kunci,isun ngundang kunci
dia mencium bunga dari bukit,yane ngambung kembang teko puthuk
mereka menyapu sayur,wong-wong nyapu jangan
kamu membawa pisang di sungai,riko nggowo gedhang nong kali
kamu membawa buku dari pasar,riko nggowo buku teko pasar
ibu mencium sayur dari dapur,mak ngambung jangan teko pawon
ibu melihat anak,mak ndeleng lare
mereka memanggil air dari pasar,wong-wong ngundang byanyu teko pasar
kamu memasak nasi,riko ngolah sego
kamu memukul sayur ke sungai,riko nyampat jangan nyang kali
dia memasak buku,yane ngolah buku
mereka mencium nasi dari rumah,wong-wong ngambung sego teko umah
aku menyimpan pisang,isun nyimpen gedhang
dia melihat sayur,yane ndeleng jangan
nenek melihat sayur ke sungai,embyah ndeleng jangan nyang kali
aku mencium anak di pasar,isun ngambung lare nong pasar
aku mencium nasi di rumah,isun ngambung sego nong umah
bapak membawa buku dari dapur,bapak nggowo buku teko pawon
aku memasak kunci ke rumah,isun ngolah kunci nyang umah
dia menyapu anak di pasar,yane nyapu lare nong pasar
aku memanggil sayur di rumah,isun ngundang jangan nong umah
anak memanggil air di rumah,lare ngundang byanyu nong umah
ibu memasak kunci di dapur,mak ngolah kunci nong pawon
aku menyimpan bunga ke bukit,isun nyimpen kembang nyang puthuk
anak menyapu pisau di bukit,lare nyapu lading nong puthuk
bapak mencium nasi dari bukit,bapak ngambung sego teko puthuk
kamu memukul bunga di sungai,riko nyampat kembang nong kali
saya memukul bunga di sungai,isun nyampat kembang nong kali
saya menyapu pisau ke rumah,isun nyapu lading nyang umah
anak memukul bunga dari pasar,lare nyampat kembang teko pasar
ibu menyapu anak ke pasar,mak nyapu lare nyang pasar
anak mencium pisang di pasar,lare ngambung gedhang nong pasar
bapak mengambil pisang dari sungai,bapak njuwut gedhang teko kali
anak memasak pisang di sungai,lare ngolah gedhang nong kali
anak menyapu kunci di dapur,lare nyapu kunci nong pawon
saya memukul air,isun nyampat byanyu
dia mengambil bunga,yane njuwut kembang
ibu mencium air,mak ngambung byanyu
anak mencium kunci di dapur,lare ngambung kunci nong pawon
mereka memukul pisang ke rumah,wong-wong nyampat gedhang nyang umah
saya mencium sayur dari pasar,isun ngambung jangan teko pasar
saya menyimpan sayur dari bukit,isun nyimpen jangan teko puthuk
nenek melihat air di rumah,embyah ndeleng byanyu nong umah
kamu melihat anak dari bukit,riko ndeleng lare teko puthuk
anak menyimpan pisang di rumah,lare nyimpen gedhang nong umah
mereka mengambil air ke dapur,wong-wong njuwut byanyu nyang pawon
anak mencium sayur,lare ngambung jangan
bapak mengambil anak dari sungai,bapak njuwut lare teko kali
mereka memasak pisau di sungai,wong-wong ngolah lading nong kali
ibu memukul kunci,mak nyampat kunci
aku memukul bunga ke pasar,isun nyampat kembang nyang pasar
bapak memanggil sayur di bukit,bapak ngundang jangan nong puthuk
dia memanggil anak di sungai,yane ngundang lare nong kali
mereka menyapu kunci ke pasar,wong-wong nyapu kunci nyang pasar
kamu menyapu kunci dari bukit,riko nyapu kunci teko puthuk
anak mengambil pisau dari dapur,lare njuwut lading teko pawon
bapak mengambil pisang ke sungai,bapak njuwut gedhang nyang kali
saya melihat anak,isun ndeleng lare
nenek mengambil nasi dari dapur,embyah njuwut sego teko pawon
mereka mencium pisau dari sungai,wong-wong ngambung lading teko kali
ibu memasak kunci di dapur,mak ngolah kunci nong pawon
mereka menyimpan buku,wong-wong nyimpen buku
dia menyimpan anak ke sungai,yane nyimpen lare nyang kali
dia memasak nasi ke sungai,yane ngolah sego nyang kali
anak memasak buku,lare ngolah buku
saya memasak pisau dari rumah,isun ngolah lading teko umah
bapak menyapu air ke bukit,bapak nyapu byanyu nyang puthuk
kamu membawa anak ke bukit,riko nggowo lare nyang puthuk
ibu memanggil pisau dari sungai,mak ngundang lading teko kali
anak memasak anak di rumah,lare ngolah lare nong umah
anak memanggil kunci,lare ngundang kunci
ibu melihat pisau,mak ndeleng lading
bapak memukul pisau di sungai,bapak nyampat lading nong kali
ibu memasak buku,mak ngolah buku
mereka mengambil anak dari sungai,wong-wong njuwut lare teko kali
bapak menyimpan air dari pasar,bapak nyimpen byanyu teko pasar
aku melihat anak di rumah,isun ndeleng lare nong umah
bapak melihat pisau dari dapur,bapak ndeleng lading teko pawon
nenek memanggil anak ke sungai,embyah ngundang lare nyang kali
nenek mencium bunga di pasar,embyah ngambung kembang nong pasar
mereka membawa nasi di sungai,wong-wong nggowo sego nong kali
dia memukul anak di pasar,yane nyampat lare nong pasar
mereka mengambil anak di dapur,wong-wong njuwut lare nong pawon
ibu memanggil pisau di rumah,mak ngundang lading nong umah
kamu melihat pisau di dapur,riko ndeleng lading nong pawon
anak membawa sayur di rumah,lare nggowo jangan nong umah
ibu memasak pisau ke bukit,mak ngolah lading nyang puthuk
anak menyimpan buku,lare nyimpen buku
kamu mengambil air dari bukit,riko njuwut byanyu teko puthuk
saya mencium nasi di pasar,isun ngambung sego nong pasar
dia melihat buku di bukit,yane ndeleng buku nong puthuk
anak membawa nasi dari sungai,lare nggowo sego teko kali
kamu menyapu pisang,riko nyapu gedhang
nenek membawa bunga dari dapur,embyah nggowo kembang teko pawon
ibu melihat anak di rumah,mak ndeleng lare nong umah
mereka menyapu nasi,wong-wong nyapu sego
mereka memukul buku ke rumah,wong-wong nyampat buku nyang umah
saya memukul sayur ke dapur,isun nyampat jangan nyang pawon
saya memukul buku dari pasar,isun nyampat buku teko pasar
bapak melihat buku,bapak ndeleng buku
ibu memanggil pisau,mak ngundang lading
nenek menyapu kunci di pasar,embyah nyapu kunci nong pasar
ibu mengambil anak,mak njuwut lare
bapak memukul bunga di bukit,bapak nyampat kembang nong puthuk
ibu mengambil buku di rumah,mak njuwut buku nong umah
ibu mengambil nasi dari pasar,mak njuwut sego teko pasar
ibu memukul sayur dari dapur,mak nyampat jangan teko pawon
mereka memukul pisau ke bukit,wong-wong nyampat lading nyang puthuk
ibu mencium pisau dari bukit,mak ngambung lading teko puthuk
anak melihat pisau ke sungai,lare ndeleng lading nyang kali
nenek mencium nasi,embyah ngambung sego
dia melihat pisang di dapur,yane ndeleng gedhang nong pawon
aku membawa bunga ke pasar,isun nggowo kembang nyang pasar
anak mengambil kunci di pasar,lare njuwut kunci nong pasar
anak mengambil anak dari pasar,lare njuwut lare teko pasar
mereka mencium pisang dari pasar,wong-wong ngambung gedhang teko pasar
anak memukul anak dari bukit,lare nyampat lare teko puthuk
kamu menyapu pisang ke pasar,riko nyapu gedhang nyang pasar
aku mengambil pisang ke pasar,isun njuwut gedhang nyang pasar
nenek melihat kunci,embyah ndeleng kunci
nenek memukul pisau di sungai,embyah nyampat lading nong kali
saya membawa pisau ke rumah,isun nggowo lading nyang umah
ibu memukul pisang dari pasar,mak nyampat gedhang teko pasar
ibu memukul anak dari rumah,mak nyampat lare teko umah
dia mencium pisau,yane ngambung lading
saya melihat anak ke pasar,isun ndeleng lare nyang pasar
kamu menyapu bunga ke pasar,riko nyapu kembang nyang pasar
saya menyapu pisau ke sungai,isun nyapu lading nyang kali
anak menyapu anak ke sungai,lare nyapu lare nyang kali
nenek memukul anak di pasar,embyah nyampat lare nong pasar
bapak mengambil nasi ke dapur,bapak njuwut sego nyang pawon
kamu mencium nasi,riko ngambung sego
bapak mengambil pisau dari bukit,bapak njuwut lading teko puthuk
nenek menyapu air dari pasar,embyah nyapu byanyu teko pasar
bapak melihat kunci,bapak ndeleng kunci
kamu memanggil buku ke pasar,riko ngundang buku nyang pasar
bapak memukul bunga ke sungai,bapak nyampat kembang nyang kali
bapak memanggil pisau dari dapur,bapak ngundang lading teko pawon
bapak memanggil nasi,bapak ngundang sego
kamu memanggil sayur di rumah,riko ngundang jangan nong umah
ibu memukul kunci,mak nyampat kunci
kamu menyapu sayur di rumah,riko nyapu jangan nong umah
anak memasak air di pasar,lare ngolah byanyu nong pasar
ibu menyimpan kunci dari bukit,mak nyimpen kunci teko puthuk
aku memanggil air di pasar,isun ngundang byanyu nong pasar
nenek menyimpan pisang,embyah nyimpen gedhang
nenek memasak air dari pasar,embyah ngolah byanyu teko pasar
nenek memanggil kunci,embyah ngundang kunci
kamu menyapu buku dari rumah,riko nyapu buku teko umah
anak mencium sayur,lare ngambung jangan
aku mencium bunga ke bukit,isun ngambung kembang nyang puthuk
bapak mencium anak,bapak ngambung lare
dia melihat pisau di dapur,yane ndeleng lading nong pawon
bapak melihat nasi di bukit,bapak ndeleng sego nong puthuk
bapak memukul sayur,bapak nyampat jangan
dia memanggil pisau dari sungai,yane ngundang lading teko kali
nenek memasak bunga ke sungai,embyah ngolah kembang nyang kali
dia memukul air di dapur,yane nyampat byanyu nong pawon
aku memanggil pisang di sungai,isun ngundang gedhang nong kali
saya mencium pisang di rumah,isun ngambung gedhang nong umah
kamu membawa pisau di bukit,riko nggowo lading nong puthuk
aku memukul bunga dari dapur,isun nyampat kembang teko pawon
saya menyimpan sayur di pasar,isun nyimpen jangan nong pasar
saya mengambil anak di pasar,isun njuwut lare nong pasar
saya memanggil nasi di bukit,isun ngundang sego nong puthuk
dia mencium buku di bukit,yane ngambung buku nong puthuk
kamu memukul pisau,riko nyampat lading
kamu melihat anak dari bukit,riko ndeleng lare teko puthuk
ibu melihat buku di sungai,mak ndeleng buku nong kali
aku memanggil anak ke bukit,isun ngundang lare nyang puthuk
aku mencium pisau ke sungai,isun ngambung lading nyang kali
mereka memanggil pisau,wong-wong ngundang lading
bapak menyimpan buku ke sungai,bapak nyimpen buku nyang kali
mereka melihat bunga dari dapur,wong-wong ndeleng kembang teko pawon
mereka mencium air dari pasar,wong-wong ngambung byanyu teko pasar
dia melihat sayur di dapur,yane ndeleng jangan nong pawon
mereka memanggil pisang dari bukit,wong-wong ngundang gedhang teko puthuk
